Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
